Company_ID,Revenue_Million,Profit_Before_Tax_Million,Statutory_Tax_Rate,Effective_Tax_Rate,Offshore_Transactions_Million,Ownership_Concentration_Percent,Internal_Control_Score,Audit_Likelihood,Audit_Outcome,History_Fines_Million,Offshore_Subsidiaries,Aggressive_Tax_Planning_Score,Tax_Rate_Deviation,Tax_Risk_Label
C0001,1149.0142459033698,255.75635236085884,25,29.827436524421064,13.96510837731632,81.1491721590829,1,0.4019201869926765,Clean,1,4,0.8594932898889782,4.8274365244210635,Medium
C0002,958.5207096486446,173.2944408195192,25,17.830072574725072,37.73253483143489,50.2589901451718,5,0.6465972838024704,Clean,0,0,0.311156716730809,7.169927425274928,Medium
C0003,1194.3065614302077,293.8499710069313,25,22.881917933017853,0.4122519627196969,48.89341509241555,3,0.350718509454251,Clean,0,3,0.0014503165911271543,2.118082066982147,Low
C0004,1456.9089569224075,229.5713753758475,20,7.68956693707037,18.55153268817739,73.49719345966662,1,0.2733839181137786,Clean,1,0,0.23415914505635826,12.31043306292963,Medium
C0005,929.7539875829992,191.41582847966168,25,15.120772350718388,6.487625128653397,60.778768592939585,2,0.577399267133091,Adverse,5,2,0.08950064089550647,9.879227649281612,Medium
C0006,929.7589129152458,235.8173540648222,20,7.691027570445374,39.65862948635099,24.9704746155812,5,0.9335018767024349,Clean,0,3,0.09238490699624413,12.308972429554625,High
C0007,1473.7638446522174,74.32990783452006,25,33.84631168643328,6.666456204894865,82.44784109837569,4,0.03498187351615356,Clean,0,3,0.6928357341425915,8.846311686433282,Low
C0008,1230.2304187458726,109.85860248721558,25,29.217849479787514,23.21543892896444,22.15481715663481,1,0.7692312035414377,Clean,0,3,0.21397633563906482,4.217849479787514,Medium
C0009,859.1576842195144,104.48599948807556,25,18.78898263069381,22.430636876599284,72.38774493468202,2,0.7227272780446271,Clean,0,1,0.9347423629769824,6.211017369306191,Medium
C0010,1162.7680130757894,211.43544758109653,25,11.708076449710134,5.007560022276491,73.1155899893019,3,0.9639534253882871,Qualified,0,2,0.516444546591304,13.291923550289866,High
C0011,860.9746921562613,338.60119995880734,25,33.00365315749556,0.7083823250288912,86.71777596973513,2,0.9307112223325436,Qualified,1,2,0.46009825795491854,8.003653157495563,High
C0012,860.281073928923,378.50401169541055,20,15.337897871809153,10.527232828697692,23.789408588162452,5,0.7622325620441929,Qualified,0,0,0.43428351822015165,4.662102128190847,Medium
C0013,1072.5886814698101,251.04408811526056,25,9.829532950621243,6.827090969701284,61.77998025491437,4,0.5204087646825987,Clean,5,0,0.6925876396716318,15.170467049378757,High
C0014,426.01592660266067,240.06755799555657,20,21.894931653618645,33.10730727102722,49.9488399438937,5,0.20426755323351986,Clean,1,2,0.4522627625236084,1.8949316536186451,Low
C0015,482.5246502460901,55.91538126778087,25,33.31322361034448,32.22521029283225,43.14430684016794,2,0.5452357183255744,Clean,5,2,0.12860035622519184,8.31322361034448,Medium
C0016,831.3137412277082,156.58609602127825,25,5.114908715009677,12.21380141746189,26.322299220935115,1,0.7653519939196538,Clean,0,3,0.8801721806407565,19.885091284990324,High
